_id,SITE_ID,DESCRIPTION,SITE_DISTANCE,LONGITUDE,LATITUDE,RSECT_ID,ROAD_NAME,TDIST_START,TDIST_END,GAZETTAL_DIRECTION,HOURS,MON,TUE,WED,THU,FRI,SAT,SUN,WEEKDAY_AVERAGE,WEEKEND_AVERAGE
112,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,15 to 16,559,408,504,421,530,249,297,486,273
113,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,16 to 17,703,673,645,624,535,248,265,637,256
114,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,17 to 18,474,512,515,437,353,211,233,463,222
115,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,18 to 19,237,249,244,226,221,181,172,236,176
116,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,19 to 20,99,123,118,130,130,111,107,120,109
117,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,20 to 21,84,104,75,99,104,99,65,91,82
118,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,21 to 22,121,105,129,134,178,269,79,133,174
119,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,22 to 23,44,38,45,53,65,68,41,49,54
120,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,AGAINST GAZETTAL,23 to 24,39,40,41,43,80,198,32,48,115
121,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,0 to 1,11,20,25,24,21,22,18,21,20
122,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,1 to 2,18,32,30,22,27,14,14,26,14
123,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,2 to 3,31,21,25,28,35,19,9,27,14
124,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,3 to 4,129,129,135,128,135,48,11,131,29
125,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,4 to 5,338,347,334,347,323,171,72,337,121
126,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,5 to 6,739,762,740,681,662,249,183,719,216
127,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,6 to 7,685,690,654,616,620,204,254,653,229
128,11412,"""80m south of Hillside Dve""",0.5,153.233819857083,-27.7327266386132,1003,"""STAPYLTON - JACOBS WELL ROAD""",0,1.09,GAZETTAL,7 to 8,655,605,633,604,594,268,253,619,260
